length	gc
ENSG00000198642	4412	0.408
ENSG00000198646	110856	0.417
ENSG00000198648	293576	0.401
ENSG00000198658	NA	NA
ENSG00000198663	57095	0.428
ENSG00000198668	11293	0.46
ENSG00000198673	551897	0.369
ENSG00000198677	91111	0.356
ENSG00000198680	2470	0.527
ENSG00000198682	87987	0.404
ENSG00000198689	61846	0.402
ENSG00000198690	39256	0.426
ENSG00000198691	128312	0.464
ENSG00000198692	17430	0.356
ENSG00000198695	NA	NA
ENSG00000198700	55135	0.419
ENSG00000198707	93204	0.339
ENSG00000198712	NA	NA
ENSG00000198715	3003	0.568
ENSG00000198718	112219	0.379
ENSG00000198719	8404	0.578
ENSG00000198720	24979	0.555
ENSG00000198721	19905	0.417
ENSG00000198722	243344	0.416
ENSG00000198727	NA	NA
ENSG00000198728	12886	0.556
ENSG00000198730	28480	0.388
ENSG00000198732	152970	0.456
ENSG00000198736	5061	0.586
ENSG00000198740	73268	0.415
ENSG00000198742	116686	0.427
ENSG00000198744	NA	NA
ENSG00000198746	9984	0.501
ENSG00000198750	59737	0.525
ENSG00000198752	125027	0.489
ENSG00000198753	16290	0.657
ENSG00000198754	1824	0.634
ENSG00000198755	2381	0.57
ENSG00000198756	108083	0.404
ENSG00000198759	64001	0.41
ENSG00000198763	NA	NA
ENSG00000198768	55524	0.482
ENSG00000198774	31988	0.344
ENSG00000198780	118390	0.393
ENSG00000198783	1657	0.459
ENSG00000198786	NA	NA
ENSG00000198791	17648	0.374
ENSG00000198792	53743	0.535
ENSG00000198793	156021	0.445
ENSG00000198794	25961	0.502
ENSG00000198795	290327	0.381
ENSG00000198796	147708	0.444
ENSG00000198799	51512	0.413
ENSG00000198804	NA	NA
ENSG00000198805	8628	0.465
ENSG00000198814	78102	0.386
ENSG00000198815	159339	0.386
ENSG00000198816	4908	0.614
ENSG00000198818	22475	0.434
ENSG00000198824	12839	0.43
ENSG00000198825	103104	0.412
ENSG00000198826	24524	0.38
ENSG00000198830	4232	0.474
ENSG00000198832	2789	0.602
ENSG00000198833	26276	0.402
ENSG00000198835	10113	0.625
ENSG00000198836	104668	0.37
ENSG00000198837	17178	0.565
ENSG00000198838	555127	0.416
ENSG00000198839	137347	0.374
ENSG00000198840	NA	NA
ENSG00000198841	1696	0.554
ENSG00000198843	27169	0.376
ENSG00000198846	313791	0.376
ENSG00000198848	30312	0.48
ENSG00000198853	71889	0.443
ENSG00000198855	4330	0.567
ENSG00000198856	17238	0.396
ENSG00000198858	16723	0.589
ENSG00000198860	22534	0.35
ENSG00000198862	64812	0.367
ENSG00000198863	13126	0.475
ENSG00000198865	45620	0.357
ENSG00000198870	27937	0.547
ENSG00000198873	247935	0.504
ENSG00000198874	242716	0.416
ENSG00000198876	40391	0.458
ENSG00000198879	252863	0.437
ENSG00000198885	3030	0.567
ENSG00000198886	NA	NA
ENSG00000198887	95912	0.364
ENSG00000198888	NA	NA
ENSG00000198890	2650	0.506
ENSG00000198892	3919	0.581
ENSG00000198894	19053	0.428
ENSG00000198898	108190	0.388
ENSG00000198899	NA	NA
ENSG00000198900	95665	0.399
ENSG00000198901	28614	0.45
ENSG00000198908	31728	0.428
ENSG00000198909	73896	0.452
ENSG00000198911	73270	0.481
ENSG00000198912	11161	0.494
ENSG00000198915	72384	0.564
ENSG00000198917	10171	0.576
ENSG00000198918	5156	0.461
ENSG00000198919	105357	0.358
ENSG00000198920	62603	0.416
ENSG00000198924	19681	0.368
ENSG00000198925	11515	0.567
ENSG00000198931	2466	0.644
ENSG00000198932	7717	0.487
ENSG00000198933	16800	0.578
ENSG00000198934	3701	0.542
ENSG00000198937	17004	0.523
ENSG00000198938	NA	NA
ENSG00000198939	37295	0.423
ENSG00000198944	3457	0.574
ENSG00000198945	122867	0.383
ENSG00000198947	2220382	0.364
ENSG00000198948	39682	0.42
ENSG00000198951	12509	0.533
ENSG00000198952	33606	0.498
ENSG00000198954	28263	0.407
ENSG00000198959	36837	0.528
ENSG00000198960	2884	0.516
ENSG00000198961	75266	0.377
ENSG00000198963	189866	0.377
ENSG00000198964	319579	0.394
ENSG00000199332	NA	NA
ENSG00000202198	NA	NA
ENSG00000203326	20874	0.428
ENSG00000203392	NA	NA
ENSG00000203485	30005	0.637
ENSG00000203497	NA	NA
ENSG00000203499	12198	0.602
ENSG00000203644	NA	NA
ENSG00000203666	155360	0.423
ENSG00000203667	9721	0.395
ENSG00000203668	7066	0.349
ENSG00000203705	24998	0.406
ENSG00000203709	NA	NA
ENSG00000203722	6201	0.541
ENSG00000203724	4816	0.412
ENSG00000203727	61330	0.395
ENSG00000203739	NA	NA
ENSG00000203760	8502	0.36
ENSG00000203761	NA	NA
ENSG00000203772	3952	0.662
ENSG00000203778	15320	0.363
ENSG00000203780	113054	0.415
ENSG00000203791	33034	0.413
ENSG00000203797	23371	0.446
ENSG00000203805	132902	0.423
ENSG00000203808	32258	0.384
ENSG00000203811	NA	NA
ENSG00000203812	NA	NA
ENSG00000203814	29684	0.419
ENSG00000203815	NA	NA
ENSG00000203817	NA	NA
ENSG00000203819	582	0.598
ENSG00000203827	NA	NA
ENSG00000203832	NA	NA
ENSG00000203835	NA	NA
ENSG00000203836	NA	NA
ENSG00000203852	NA	NA
ENSG00000203865	25758	0.454
ENSG00000203872	20611	0.402
ENSG00000203875	1727	0.414
ENSG00000203879	6556	0.598
ENSG00000203880	20532	0.437
ENSG00000203896	3408	0.679
ENSG00000203902	NA	NA
ENSG00000203943	52433	0.387
ENSG00000203950	1259	0.6
ENSG00000203965	49352	0.352
ENSG00000203993	3525	0.565
ENSG00000203995	52065	0.436
ENSG00000203999	22200	0.53
ENSG00000204054	30236	0.547
ENSG00000204055	NA	NA
ENSG00000204070	14866	0.495
ENSG00000204071	2456	0.528
ENSG00000204072	NA	NA
ENSG00000204084	86361	0.466
ENSG00000204103	3360	0.566
ENSG00000204104	80357	0.445
ENSG00000204116	123954	0.376
ENSG00000204120	163275	0.394
ENSG00000204130	66188	0.409
ENSG00000204131	232487	0.454
ENSG00000204138	130789	0.429
ENSG00000204147	14882	0.357
ENSG00000204149	22182	0.408
ENSG00000204150	NA	NA
ENSG00000204152	NA	NA
ENSG00000204160	29011	0.511
ENSG00000204164	NA	NA
ENSG00000204169	22177	0.408
ENSG00000204172	NA	NA
ENSG00000204176	15158	0.515
ENSG00000204177	NA	NA
ENSG00000204178	69311	0.407
ENSG00000204186	39626	0.374
ENSG00000204209	NA	NA
ENSG00000204217	191425	0.411
ENSG00000204219	43707	0.486
ENSG00000204220	NA	NA
ENSG00000204227	NA	NA
ENSG00000204228	NA	NA
ENSG00000204231	NA	NA
ENSG00000204237	1553	0.618
ENSG00000204248	NA	NA
ENSG00000204253	NA	NA
ENSG00000204256	NA	NA
ENSG00000204257	NA	NA
ENSG00000204261	NA	NA
ENSG00000204262	147965	0.346
ENSG00000204264	NA	NA
ENSG00000204267	NA	NA
ENSG00000204271	19186	0.404
ENSG00000204272	88287	0.454
ENSG00000204291	127080	0.47
ENSG00000204301	NA	NA
ENSG00000204304	NA	NA
ENSG00000204305	NA	NA
ENSG00000204308	NA	NA
ENSG00000204310	NA	NA
ENSG00000204311	9948	0.395
ENSG00000204314	NA	NA
ENSG00000204315	NA	NA
ENSG00000204316	11176	0.554
ENSG00000204334	NA	NA
ENSG00000204338	NA	NA
ENSG00000204344	NA	NA
ENSG00000204348	NA	NA
ENSG00000204351	NA	NA
ENSG00000204352	28216	0.481
ENSG00000204356	NA	NA
ENSG00000204366	NA	NA
ENSG00000204370	8978	0.422
ENSG00000204371	NA	NA
ENSG00000204377	NA	NA
ENSG00000204381	21238	0.441
ENSG00000204386	NA	NA
ENSG00000204387	NA	NA
ENSG00000204388	NA	NA
ENSG00000204389	NA	NA
ENSG00000204390	NA	NA
ENSG00000204392	NA	NA
ENSG00000204394	NA	NA
ENSG00000204396	NA	NA
ENSG00000204397	3999	0.379
ENSG00000204406	492465	0.363
ENSG00000204410	NA	NA
ENSG00000204427	NA	NA
ENSG00000204428	NA	NA
ENSG00000204435	NA	NA
ENSG00000204438	NA	NA
ENSG00000204439	NA	NA
ENSG00000204442	698582	0.374
ENSG00000204444	NA	NA
ENSG00000204463	NA	NA
ENSG00000204469	NA	NA
ENSG00000204498	NA	NA
ENSG00000204514	40344	0.461
ENSG00000204516	NA	NA
ENSG00000204519	7833	0.478
ENSG00000204520	NA	NA
ENSG00000204524	22054	0.432
ENSG00000204525	NA	NA
ENSG00000204533	NA	NA
ENSG00000204536	NA	NA
ENSG00000204540	NA	NA
ENSG00000204556	NA	NA
ENSG00000204560	NA	NA
ENSG00000204564	NA	NA
ENSG00000204568	NA	NA
ENSG00000204569	NA	NA
ENSG00000204574	NA	NA
ENSG00000204576	NA	NA
ENSG00000204580	NA	NA
ENSG00000204588	NA	NA
ENSG00000204590	NA	NA
ENSG00000204592	NA	NA
ENSG00000204599	NA	NA
ENSG00000204604	19118	0.44
ENSG00000204611	25539	0.425
ENSG00000204618	NA	NA
ENSG00000204619	NA	NA
ENSG00000204623	NA	NA
ENSG00000204628	6979	0.503
ENSG00000204632	NA	NA
ENSG00000204634	144157	0.444
ENSG00000204642	NA	NA
ENSG00000204650	NA	NA
ENSG00000204652	NA	NA
ENSG00000204673	9324	0.598
ENSG00000204681	NA	NA
ENSG00000204682	2793	0.648
ENSG00000204685	34209	0.466
ENSG00000204713	NA	NA
ENSG00000204745	NA	NA
ENSG00000204758	4586	0.489
ENSG00000204764	438124	0.374
ENSG00000204767	117026	0.436
ENSG00000204771	NA	NA
ENSG00000204775	NA	NA
ENSG00000204778	NA	NA
ENSG00000204789	17552	0.406
ENSG00000204790	58056	0.358
ENSG00000204792	NA	NA
ENSG00000204794	NA	NA
ENSG00000204801	NA	NA
ENSG00000204802	NA	NA
ENSG00000204815	30781	0.504
ENSG00000204816	NA	NA
ENSG00000204822	858	0.591
ENSG00000204837	60783	0.384
ENSG00000204839	6566	0.671
ENSG00000204842	147463	0.42
ENSG00000204843	30934	0.5
ENSG00000204851	4722	0.639
ENSG00000204852	35104	0.444
ENSG00000204856	21964	0.437
ENSG00000204859	9285	0.578
ENSG00000204899	19444	0.391
ENSG00000204920	14156	0.421
ENSG00000204922	2037	0.556
ENSG00000204923	4886	0.401
ENSG00000204934	6169	0.534
ENSG00000204936	9656	0.56
ENSG00000204941	18794	0.434
ENSG00000204946	22824	0.491
ENSG00000204947	23561	0.471
ENSG00000204954	15493	0.418
ENSG00000204956	182297	0.45
ENSG00000204959	NA	NA
ENSG00000204977	21461	0.404
ENSG00000204991	42821	0.553
ENSG00000205041	NA	NA
ENSG00000205047	NA	NA
ENSG00000205054	80601	0.425
ENSG00000205060	27738	0.405
ENSG00000205084	18170	0.454
ENSG00000205085	11955	0.468
ENSG00000205090	5583	0.66
ENSG00000205105	NA	NA
ENSG00000205129	20277	0.359
ENSG00000205133	134144	0.345
ENSG00000205138	1131	0.635
ENSG00000205155	7241	0.513
ENSG00000205181	6025	0.508
ENSG00000205189	40647	0.389
ENSG00000205208	5581	0.411
ENSG00000205213	106827	0.391
ENSG00000205217	NA	NA
ENSG00000205220	6152	0.578
ENSG00000205221	118105	0.433
ENSG00000205238	NA	NA
ENSG00000205246	65104	0.422
ENSG00000205250	6754	0.566
ENSG00000205268	127401	0.377
ENSG00000205269	45298	0.366
ENSG00000205271	NA	NA
ENSG00000205275	NA	NA
ENSG00000205277	49327	0.519
ENSG00000205281	NA	NA
ENSG00000205302	59544	0.359
ENSG00000205309	44298	0.492
ENSG00000205323	65294	0.425
ENSG00000205336	45295	0.566
ENSG00000205339	63506	0.404
ENSG00000205352	4995	0.486
ENSG00000205356	36809	0.561
ENSG00000205363	11676	0.539
ENSG00000205364	16526	0.502
ENSG00000205403	61488	0.38
ENSG00000205413	18511	0.377
ENSG00000205423	11811	0.399
ENSG00000205456	NA	NA
ENSG00000205464	38867	0.396
ENSG00000205476	93125	0.571
ENSG00000205482	NA	NA
ENSG00000205485	78642	0.418
ENSG00000205505	NA	NA
ENSG00000205506	NA	NA
ENSG00000205508	NA	NA
ENSG00000205509	NA	NA
ENSG00000205517	36246	0.511
ENSG00000205531	47948	0.443
ENSG00000205534	827973	0.498
ENSG00000205542	2121	0.505
ENSG00000205544	1158	0.579
ENSG00000205571	903493	0.384
ENSG00000205572	NA	NA
ENSG00000205578	NA	NA
ENSG00000205580	NA	NA
ENSG00000205581	6807	0.402
ENSG00000205583	NA	NA
ENSG00000205592	NA	NA
ENSG00000205593	15098	0.6
ENSG00000205609	NA	NA
ENSG00000205629	66505	0.453
ENSG00000205639	14193	0.555
ENSG00000205643	6284	0.569
ENSG00000205659	115462	0.402
ENSG00000205662	NA	NA
ENSG00000205663	NA	NA
ENSG00000205664	NA	NA
ENSG00000205670	27326	0.472
ENSG00000205683	274806	0.457
ENSG00000205702	4362	0.632
ENSG00000205707	9800	0.397
ENSG00000205726	246826	0.423
ENSG00000205730	7699	0.493
ENSG00000205746	NA	NA
ENSG00000205758	52513	0.408
ENSG00000205763	26356	0.438
ENSG00000205765	17269	0.357
ENSG00000205771	11147	0.456
ENSG00000205791	1660	0.452
ENSG00000205795	23613	0.528
ENSG00000205808	2979	0.476
ENSG00000205838	60296	0.398
ENSG00000205861	NA	NA
ENSG00000205863	6404	0.473
ENSG00000205871	NA	NA
ENSG00000205879	3512	0.569
ENSG00000205885	13544	0.513
ENSG00000205903	NA	NA
ENSG00000205918	NA	NA
ENSG00000205930	NA	NA
ENSG00000205937	15314	0.492
ENSG00000205940	NA	NA
ENSG00000205959	NA	NA
ENSG00000205978	20503	0.53
ENSG00000205981	6065	0.392
ENSG00000206052	448039	0.362
ENSG00000206053	23796	0.478
ENSG00000206082	NA	NA
ENSG00000206127	13721	0.491
ENSG00000206149	33844	0.439
ENSG00000206172	842	0.673
ENSG00000206190	186458	0.465
ENSG00000206195	NA	NA
ENSG00000206228	NA	NA
ENSG00000206337	NA	NA
ENSG00000206341	NA	NA
ENSG00000206344	NA	NA
ENSG00000206384	116711	0.393
ENSG00000206417	NA	NA
ENSG00000206418	29938	0.422
ENSG00000206503	NA	NA
ENSG00000206527	90562	0.405
ENSG00000206530	154585	0.385
ENSG00000206535	55134	0.393
ENSG00000206538	53135	0.363
ENSG00000206559	175973	0.359
ENSG00000206560	192310	0.371
ENSG00000206561	71619	0.466
ENSG00000206562	17666	0.417
ENSG00000206567	NA	NA
ENSG00000206573	47802	0.411
ENSG00000206706	NA	NA
ENSG00000207425	NA	NA
ENSG00000207561	98	0.439
ENSG00000207650	97	0.371
ENSG00000207652	96	0.552
ENSG00000207721	86	0.36
ENSG00000207770	95	0.242
ENSG00000207949	NA	NA
ENSG00000210082	NA	NA
ENSG00000210135	NA	NA
ENSG00000210140	NA	NA
ENSG00000210196	NA	NA
ENSG00000211445	8556	0.53
ENSG00000211448	33530	0.39
ENSG00000211450	2162	0.525
ENSG00000211451	NA	NA
ENSG00000211454	8093	0.519
ENSG00000211455	81813	0.377
ENSG00000211456	56147	0.379
ENSG00000211459	NA	NA
ENSG00000211460	12308	0.415
ENSG00000211574	98	0.653
ENSG00000211584	11167	0.551
ENSG00000211772	NA	NA
ENSG00000212127	954	0.395
ENSG00000212664	NA	NA
ENSG00000212670	NA	NA
ENSG00000212694	8218	0.582
ENSG00000212719	46161	0.421
ENSG00000212747	2033	0.513
ENSG00000212789	NA	NA
ENSG00000212802	NA	NA
ENSG00000212829	NA	NA
ENSG00000212864	1077	0.669
ENSG00000212907	NA	NA
ENSG00000212916	5455	0.396
ENSG00000212932	NA	NA
ENSG00000212978	3384	0.458
ENSG00000212994	NA	NA
ENSG00000212998	NA	NA
ENSG00000213015	2445	0.638
ENSG00000213020	32242	0.461
ENSG00000213024	22905	0.543
ENSG00000213025	NA	NA
ENSG00000213036	NA	NA
ENSG00000213047	270745	0.343
ENSG00000213058	NA	NA
ENSG00000213064	16834	0.445
ENSG00000213066	41251	0.405
ENSG00000213073	3131	0.465
ENSG00000213077	2281	0.471
ENSG00000213079	100683	0.376
ENSG00000213080	NA	NA
ENSG00000213085	27753	0.462
ENSG00000213089	NA	NA
ENSG00000213096	96408	0.414
ENSG00000213104	NA	NA
ENSG00000213123	27076	0.451
ENSG00000213131	NA	NA
ENSG00000213139	8260	0.371
ENSG00000213144	NA	NA
ENSG00000213147	NA	NA
ENSG00000213160	18041	0.425
ENSG00000213178	NA	NA
ENSG00000213186	14336	0.387
ENSG00000213189	NA	NA
ENSG00000213190	8823	0.438
ENSG00000213199	4465	0.636
ENSG00000213204	88169	0.388
ENSG00000213205	NA	NA
ENSG00000213213	11404	0.592
ENSG00000213214	9616	0.454
ENSG00000213222	NA	NA
ENSG00000213225	NA	NA
ENSG00000213228	NA	NA
ENSG00000213235	NA	NA
ENSG00000213236	NA	NA
ENSG00000213240	86415	0.394
ENSG00000213246	7064	0.456
ENSG00000213250	NA	NA
ENSG00000213252	NA	NA
ENSG00000213260	NA	NA
ENSG00000213261	NA	NA
ENSG00000213280	NA	NA
ENSG00000213281	12431	0.39
ENSG00000213285	NA	NA
ENSG00000213300	NA	NA
ENSG00000213309	NA	NA
ENSG00000213315	NA	NA
ENSG00000213326	NA	NA
ENSG00000213337	10033	0.49
ENSG00000213339	11932	0.528
ENSG00000213341	41221	0.384
ENSG00000213347	6792	0.586
ENSG00000213362	NA	NA
ENSG00000213366	27922	0.481
ENSG00000213371	NA	NA
ENSG00000213380	11003	0.522
ENSG00000213390	70501	0.428
ENSG00000213397	50806	0.59
ENSG00000213398	4229	0.588
ENSG00000213399	NA	NA
ENSG00000213402	2173	0.645
ENSG00000213420	7762	0.554
ENSG00000213430	NA	NA
ENSG00000213432	NA	NA
ENSG00000213435	NA	NA
ENSG00000213442	NA	NA
ENSG00000213443	NA	NA
ENSG00000213445	12814	0.607
ENSG00000213453	NA	NA
ENSG00000213462	16392	0.457
ENSG00000213463	50595	0.396
ENSG00000213465	8073	0.553
ENSG00000213492	NA	NA
ENSG00000213493	NA	NA
ENSG00000213514	NA	NA
ENSG00000213516	13505	0.412
ENSG00000213523	8027	0.47
ENSG00000213533	60826	0.483
ENSG00000213551	6039	0.434
ENSG00000213553	NA	NA
ENSG00000213563	2856	0.7
ENSG00000213585	NA	NA
ENSG00000213588	NA	NA
ENSG00000213593	28451	0.452
ENSG00000213598	NA	NA
ENSG00000213609	NA	NA
ENSG00000213614	32743	0.454
ENSG00000213619	19134	0.486
ENSG00000213621	NA	NA
ENSG00000213625	15560	0.411
ENSG00000213626	28503	0.479
ENSG00000213638	8076	0.603
ENSG00000213639	51195	0.389
ENSG00000213648	5102	0.558
ENSG00000213654	NA	NA
ENSG00000213672	12057	0.561
ENSG00000213676	NA	NA
ENSG00000213683	NA	NA
ENSG00000213689	7859	0.554
ENSG00000213693	2572	0.482
ENSG00000213694	13746	0.486
ENSG00000213699	16958	0.527
ENSG00000213700	NA	NA
ENSG00000213707	NA	NA
ENSG00000213713	NA	NA
ENSG00000213719	NA	NA
ENSG00000213722	NA	NA
ENSG00000213740	NA	NA
ENSG00000213741	9745	0.441
ENSG00000213742	NA	NA
ENSG00000213753	24087	0.455
ENSG00000213757	NA	NA
ENSG00000213760	NA	NA
ENSG00000213762	7807	0.475
ENSG00000213763	NA	NA
ENSG00000213782	104065	0.428
ENSG00000213790	NA	NA
ENSG00000213793	NA	NA
ENSG00000213799	21121	0.442
ENSG00000213839	NA	NA
ENSG00000213846	NA	NA
ENSG00000213853	52261	0.483
ENSG00000213856	NA	NA
ENSG00000213859	3055	0.605
ENSG00000213860	NA	NA
ENSG00000213862	NA	NA
ENSG00000213865	13591	0.408
ENSG00000213866	NA	NA
ENSG00000213881	NA	NA
ENSG00000213885	NA	NA
ENSG00000213888	NA	NA
ENSG00000213889	4034	0.554
ENSG00000213901	8637	0.504
ENSG00000213903	6538	0.535
ENSG00000213918	5157	0.573
ENSG00000213923	107831	0.478
ENSG00000213928	6046	0.543
ENSG00000213930	4010	0.548
ENSG00000213949	165712	0.368
ENSG00000213963	109178	0.402
ENSG00000213965	21836	0.461
ENSG00000213970	NA	NA
ENSG00000213971	NA	NA
ENSG00000213977	5787	0.573
ENSG00000213983	8503	0.552
ENSG00000213985	NA	NA
ENSG00000213988	47980	0.41
ENSG00000213995	24536	0.501
ENSG00000213996	8901	0.55
ENSG00000214013	80009	0.404
ENSG00000214016	NA	NA
ENSG00000214021	26397	0.511
ENSG00000214022	5773	0.625
ENSG00000214026	9338	0.607
ENSG00000214029	10505	0.407
ENSG00000214046	14010	0.483
ENSG00000214063	24293	0.65
ENSG00000214077	NA	NA
ENSG00000214078	48587	0.439
ENSG00000214087	2731	0.57
ENSG00000214106	20970	0.407
ENSG00000214110	NA	NA
ENSG00000214113	152520	0.432
ENSG00000214114	19137	0.434
ENSG00000214132	NA	NA
ENSG00000214135	34767	0.459
ENSG00000214140	17791	0.587
ENSG00000214160	7197	0.514
ENSG00000214174	9036	0.414
ENSG00000214176	NA	NA
ENSG00000214182	NA	NA
ENSG00000214185	NA	NA
ENSG00000214192	NA	NA
ENSG00000214193	18491	0.541
ENSG00000214194	1865	0.369
ENSG00000214198	86463	0.426
ENSG00000214199	NA	NA
ENSG00000214212	21255	0.513
ENSG00000214223	NA	NA
ENSG00000214226	41983	0.446
ENSG00000214243	NA	NA
ENSG00000214253	12701	0.517
ENSG00000214274	10010	0.452
ENSG00000214279	69631	0.46
ENSG00000214280	NA	NA
ENSG00000214293	38690	0.442
ENSG00000214300	14495	0.508
ENSG00000214309	1802	0.655
ENSG00000214331	35850	0.469
ENSG00000214338	80950	0.382
ENSG00000214357	50258	0.508
ENSG00000214367	14670	0.372
ENSG00000214376	29934	0.461
ENSG00000214389	NA	NA
ENSG00000214391	NA	NA
ENSG00000214401	NA	NA
ENSG00000214402	2766	0.64
ENSG00000214413	20637	0.388
ENSG00000214425	NA	NA
ENSG00000214439	NA	NA
ENSG00000214455	NA	NA
ENSG00000214485	NA	NA
ENSG00000214517	83641	0.387
ENSG00000214530	38977	0.543
ENSG00000214535	NA	NA
ENSG00000214544	NA	NA
ENSG00000214548	34916	0.523
ENSG00000214558	NA	NA
ENSG00000214562	12976	0.57
ENSG00000214575	104778	0.424
ENSG00000214578	NA	NA
ENSG00000214595	247008	0.407
ENSG00000214646	NA	NA
ENSG00000214653	NA	NA
ENSG00000214654	5235	0.421
ENSG00000214655	16175	0.544
ENSG00000214694	56087	0.422
ENSG00000214706	5187	0.592
ENSG00000214717	NA	NA
ENSG00000214753	14761	0.461
ENSG00000214756	149	0.638
ENSG00000214760	NA	NA
ENSG00000214765	45232	0.376
ENSG00000214776	NA	NA
ENSG00000214783	78255	0.512
ENSG00000214784	NA	NA
ENSG00000214810	NA	NA
ENSG00000214814	268076	0.416
ENSG00000214820	NA	NA
ENSG00000214826	30482	0.523
ENSG00000214827	7239	0.42
ENSG00000214832	NA	NA
ENSG00000214837	NA	NA
ENSG00000214881	NA	NA
ENSG00000214922	NA	NA
ENSG00000214940	NA	NA
ENSG00000214941	23132	0.441
ENSG00000214944	315836	0.394
ENSG00000214954	116618	0.369
ENSG00000214960	333796	0.366
ENSG00000214967	NA	NA
ENSG00000214973	NA	NA
ENSG00000214975	NA	NA
ENSG00000214982	703643	0.346
ENSG00000215006	NA	NA
ENSG00000215012	8802	0.552
ENSG00000215021	5402	0.531
ENSG00000215030	NA	NA
ENSG00000215039	12517	0.495
ENSG00000215041	16661	0.572
ENSG00000215067	27212	0.48
ENSG00000215068	3694	0.472
ENSG00000215086	NA	NA
ENSG00000215093	NA	NA
ENSG00000215102	NA	NA
ENSG00000215105	NA	NA
ENSG00000215114	40238	0.38
ENSG00000215126	NA	NA
ENSG00000215142	NA	NA
ENSG00000215146	36180	0.372
ENSG00000215154	27111	0.542
ENSG00000215158	NA	NA
ENSG00000215190	NA	NA
ENSG00000215193	13112	0.482
ENSG00000215196	87395	0.437
ENSG00000215210	NA	NA
ENSG00000215241	NA	NA
ENSG00000215251	13392	0.446
ENSG00000215252	10739	0.504
ENSG00000215256	16359	0.439
ENSG00000215270	NA	NA
ENSG00000215271	25904	0.458
ENSG00000215301	31075	0.426
ENSG00000215302	NA	NA
ENSG00000215305	26006	0.488
ENSG00000215374	69144	0.444
ENSG00000215375	8449	0.655
ENSG00000215386	539253	0.353
ENSG00000215394	10225	0.376
ENSG00000215414	NA	NA
ENSG00000215421	434706	0.377
ENSG00000215424	22586	0.452
ENSG00000215440	27181	0.564
ENSG00000215447	9303	0.547
ENSG00000215481	NA	NA
ENSG00000215492	NA	NA
ENSG00000215493	NA	NA
ENSG00000215513	44085	0.559
ENSG00000215548	NA	NA
ENSG00000215608	NA	NA
ENSG00000215615	NA	NA
ENSG00000215630	NA	NA
ENSG00000215642	NA	NA
ENSG00000215699	NA	NA
ENSG00000215700	NA	NA
ENSG00000215712	35200	0.435
ENSG00000215717	6152	0.419
ENSG00000215719	NA	NA
ENSG00000215749	NA	NA
ENSG00000215750	NA	NA
ENSG00000215769	32338	0.479
ENSG00000215781	43782	0.394
ENSG00000215784	16692	0.402
ENSG00000215788	5042	0.597
ENSG00000215790	21162	0.522
ENSG00000215817	NA	NA
ENSG00000215835	NA	NA
ENSG00000215845	1353	0.602
ENSG00000215860	NA	NA
ENSG00000215861	NA	NA
ENSG00000215863	NA	NA
ENSG00000215883	27720	0.49
ENSG00000215895	NA	NA
ENSG00000215908	26428	0.532
ENSG00000215914	1870	0.718
ENSG00000215915	20470	0.57
ENSG00000216285	NA	NA
ENSG00000216775	4753	0.444
ENSG00000216809	NA	NA
ENSG00000216819	NA	NA
ENSG00000216829	NA	NA
ENSG00000216866	NA	NA
ENSG00000216895	NA	NA
ENSG00000216937	NA	NA
ENSG00000217027	NA	NA
ENSG00000217094	NA	NA
ENSG00000217128	155350	0.378
ENSG00000217130	NA	NA
ENSG00000217165	NA	NA
ENSG00000217241	NA	NA
ENSG00000217261	NA	NA
ENSG00000217325	NA	NA
ENSG00000217416	NA	NA
ENSG00000217555	13725	0.417
ENSG00000217624	NA	NA
ENSG00000217648	NA	NA
ENSG00000217716	NA	NA
ENSG00000217769	NA	NA
ENSG00000217835	NA	NA
ENSG00000217930	11122	0.554
ENSG00000217950	2734	0.584
ENSG00000218052	NA	NA
ENSG00000218175	NA	NA
ENSG00000218208	NA	NA
ENSG00000218226	NA	NA
ENSG00000218227	NA	NA
ENSG00000218283	NA	NA
ENSG00000218305	NA	NA
ENSG00000218336	659038	0.389
ENSG00000218350	NA	NA
ENSG00000218418	NA	NA
ENSG00000218426	NA	NA
ENSG00000218497	NA	NA
ENSG00000218510	6009	0.469
ENSG00000218537	NA	NA
ENSG00000218586	NA	NA
ENSG00000218739	8252	0.408
ENSG00000218891	3321	0.682
ENSG00000218980	NA	NA
ENSG00000218996	NA	NA
ENSG00000219023	NA	NA
ENSG00000219133	NA	NA
ENSG00000219200	NA	NA
ENSG00000219201	NA	NA
ENSG00000219451	523	0.457
ENSG00000219470	NA	NA
ENSG00000219481	51179	0.44
ENSG00000219507	NA	NA
ENSG00000219545	NA	NA
ENSG00000219607	1736	0.661
ENSG00000219626	97792	0.43
ENSG00000219642	NA	NA
ENSG00000219665	NA	NA
ENSG00000219682	NA	NA
ENSG00000219693	NA	NA
ENSG00000219747	NA	NA
ENSG00000219755	NA	NA
ENSG00000219773	NA	NA
ENSG00000219814	NA	NA
ENSG00000219891	4909	0.42
ENSG00000219928	NA	NA
ENSG00000219932	NA	NA
ENSG00000220023	NA	NA
ENSG00000220157	NA	NA
ENSG00000220205	3829	0.562
ENSG00000220323	NA	NA
ENSG00000220412	NA	NA
ENSG00000220472	NA	NA
ENSG00000220583	NA	NA
ENSG00000220749	NA	NA
ENSG00000220785	10051	0.527
ENSG00000220793	NA	NA
ENSG00000220804	71626	0.391
